Timestamp	Gender	Age	How extroverted are you?	How confident are you?	How individualistic are you?	How organized are you?	How dominant are you?	How impulsive are you?	How libidinous are you?	How ambitious are you?	How altruistic are you?	Sexual orientation	How courageous are you?	Which are most awesome?	Which are most awesome?	Who is most awesome?	Which is most awesome?	Which are most awesome?	Which are most awesome?	Which is most awesome?	Which are most awesome?	Who is most awesome?	Which is most awesome?	How detail oriented are you?	
11/1/2014 12:26:21	Female			3	4		2	4	3	2	3	Straight		Vampires	Wizards	Superman		Ninjas	Warrior Princesses		Elves	Sherlock Holmes	Norse Mythology		
11/1/2014 12:31:57	Male	40		3	4		3	4	5	5	5	Gay/Lesbian		Vampires	Rogues	Batman		Ninjas	Witches		Elves	King Arthur	Celtic Mythology		
11/1/2014 12:48:56	Female	29		3	4		1	4	3	1	4	Bisexual		Werewolves	Wizards	Superman		Ninjas	Nymphs		Elves	Sherlock Holmes	Celtic Mythology		
11/1/2014 12:59:03	Female	31		2	4		3	4	3	3	4	Straight		Vampires	Wizards	Superman		Pirates	Witches		Elves	Sherlock Holmes	Greek Mythology		
11/1/2014 13:02:38	Female	26		3	3		1	2	2	4	3	Bisexual		Vampires	Rogues	Batman		Pirates	Witches		Elves	Sherlock Holmes	Greek Mythology		
11/1/2014 15:34:21	Female	28		5	3		4	3	5	5	5	Straight		Vampires	Wizards	Superman		Ninjas	Witches		Elves	King Arthur	Greek Mythology		
11/1/2014 15:36:20	Male	25		5	4		3	4	4	4	4	Other		Zombies	Wizards	Superman		Ninjas	Witches		Elves	Sherlock Holmes	Norse Mythology		
11/1/2014 17:05:54	Male	44		4	3		5	4	5	4	4	Bisexual		Vampires	Rogues	Batman		Ninjas	Warrior Princesses		Elves	Robin Hood	Greek Mythology		
11/1/2014 17:25:32	Male	23		4	2		3	4	4	2	5	Straight		Werewolves	Rogues	Batman		Ninjas	Witches		Dwarves	King Arthur	Norse Mythology		
11/1/2014 17:52:13	Male	26		3	3		2	2	3	1	3	Straight		Vampires	Wizards	Batman		Cowboys	Warrior Princesses		Dwarves	Robin Hood	Greek Mythology		
11/1/2014 19:17:03	Male	23		4	4		5	4	3	3	3	Straight		Werewolves	Rogues	Batman		Ninjas	Warrior Princesses		Elves	Robin Hood	Celtic Mythology		
11/1/2014 19:32:09	Male	26		3	3		2	2	5	2	4	Straight		Vampires	Wizards	Batman		Cowboys	Warrior Princesses		Dwarves	Sherlock Holmes	Norse Mythology		
11/2/2014 0:28:04	Female	24		3	3		2	4	4	3	4	Other		Werewolves	Wizards	Batman		Pirates	Warrior Princesses		Elves	Sherlock Holmes	Greek Mythology		
11/2/2014 8:11:06				4	4		4	5	4	3	5			Vampires	Rogues	Batman		Pirates	Warrior Princesses		Elves	Sherlock Holmes	Norse Mythology		
11/2/2014 10:24:38	Female	25		5	4		2	2	5	4	4	Straight		Werewolves	Wizards	Batman		Ninjas	Witches		Elves	Robin Hood	Greek Mythology		
11/2/2014 10:25:25	Female	28		3	3		1	2	5	2	3	Straight		Vampires	Rogues	Batman		Ninjas	Nymphs		Elves	King Arthur	Norse Mythology		
11/2/2014 10:28:05	Female	23		3	4		1	2	3	4	2	Straight		Vampires	Rogues	Batman		Pirates	Nymphs		Elves	Robin Hood	Norse Mythology		
11/2/2014 10:37:46	Female	24		4	3		2	3	3	4	4	Straight		Zombies	Wizards	Superman		Pirates	Warrior Princesses		Elves	Robin Hood	Greek Mythology		
11/2/2014 10:39:36	Female	29		4	3		3	4	4	4	4	Bisexual		Werewolves	Knights	Superman		Ninjas	Nymphs		Elves	Sherlock Holmes	Norse Mythology		
11/2/2014 10:40:50	Female	26		4	4		3	2	3	4	3	Other		Vampires	Wizards	Batman		Pirates	Warrior Princesses		Elves	Robin Hood	Norse Mythology		
11/2/2014 10:45:11	Female	29		1	2		1	2	2	2	3	Straight		Werewolves	Rogues	Superman		Ninjas	Warrior Princesses		Dwarves	King Arthur	Greek Mythology		
11/2/2014 10:49:44	Male	29		3	4		3	4	3	2	3	Straight		Vampires	Rogues	Superman		Ninjas	Nymphs		Elves	Sherlock Holmes	Norse Mythology		
11/2/2014 10:59:36	Female	27		2	2		1	1	1	3	2	Straight		Vampires	Wizards	Superman		Pirates	Nymphs		Elves	Sherlock Holmes	Norse Mythology		
11/2/2014 11:09:08	Female	33		4	4		3	4	2	4	3	Straight		Werewolves	Wizards	Batman		Ninjas	Warrior Princesses		Elves	Robin Hood	Celtic Mythology		
11/2/2014 11:12:03	Other	35		4	4		4	5	3	4	4	Other		Vampires	Wizards	Batman		Ninjas	Witches		Dwarves	Robin Hood	Norse Mythology		
11/2/2014 11:19:37	Male	27		4	3		4	2	5	5	4	Straight		Vampires	Rogues	Superman		Pirates	Witches		Elves	Robin Hood	Celtic Mythology		
11/2/2014 11:21:38	Female	43		3	2		4	3	4	2	3	Straight		Werewolves	Wizards	Batman		Ninjas	Nymphs		Elves	Sherlock Holmes	Celtic Mythology		
11/2/2014 11:33:21	Female	34		4	5		2	3	3	4	3	Bisexual		Vampires	Wizards	Batman		Ninjas	Warrior Princesses		Elves	Sherlock Holmes	Greek Mythology		
11/2/2014 11:42:24	Female	28		3	2		4	4	3	4	4	Bisexual		Vampires	Knights	Superman		Cowboys	Warrior Princesses		Elves	Robin Hood	Norse Mythology		
11/2/2014 11:54:29	Male	26		4	5		5	3	2	5	2	Bisexual		Vampires	Wizards	Batman		Ninjas	Witches		Elves	Sherlock Holmes	Greek Mythology		
11/2/2014 12:00:32	Male	24		4	3		4	4	4	4	3	Bisexual		Vampires	Knights	Superman		Cowboys	Nymphs		Elves	King Arthur	Greek Mythology		
11/2/2014 12:07:20	Male	35		3	5		3	1	5	3	5	Straight		Zombies	Wizards	Batman		Ninjas	Warrior Princesses		Elves	Sherlock Holmes	Greek Mythology		
11/2/2014 12:14:42	Other	25		4	2		4	5	5	5	4	Bisexual		Vampires	Wizards	Batman		Ninjas	Warrior Princesses		Dwarves	Robin Hood	Greek Mythology		
11/2/2014 12:16:48	Other	99		1	1		3	1	1	1	3	Other		Zombies	Wizards	Batman		Pirates	Witches		Elves	Sherlock Holmes	Greek Mythology		
11/2/2014 12:18:52	Female	28		5	4		3	2	5	5	4	Other		Werewolves	Wizards	Batman		Pirates	Witches		Elves	Sherlock Holmes	Norse Mythology		
11/2/2014 12:23:22	Female	27		4	4		3	4	3	4	4	Bisexual		Werewolves	Wizards	Batman		Ninjas	Nymphs		Elves	King Arthur	Celtic Mythology		
11/2/2014 12:23:49	Male	26		4	2		3	4	4	1	4	Straight		Werewolves	Rogues	Batman		Pirates	Witches		Elves	Sherlock Holmes	Greek Mythology		
11/2/2014 12:30:53	Female	34		4	5		3	2	5	4	5	Straight		Werewolves	Wizards	Batman		Pirates	Warrior Princesses		Elves	Sherlock Holmes	Celtic Mythology		
11/2/2014 12:31:00	Male	22		3	3		4	2	2	3	3	Straight		Werewolves	Knights	Batman		Pirates	Witches		Elves	Sherlock Holmes	Greek Mythology		
11/2/2014 12:36:27	Female	28		3	3		2	4	4	2	4	Straight		Vampires	Wizards	Batman		Ninjas	Nymphs		Elves	Robin Hood	Greek Mythology		
11/2/2014 12:41:00	Female	30		3	2		4	2	5	3	3	Bisexual		Zombies	Wizards	Batman		Pirates	Witches		Elves	Robin Hood	Greek Mythology		
11/2/2014 12:55:27	Female	30		4	4		3	4	5	2	3	Bisexual		Werewolves	Wizards	Superman		Ninjas	Warrior Princesses		Elves	Robin Hood	Celtic Mythology		
11/2/2014 13:00:14	Female	27		4	4		3	4	4	4	3	Other		Werewolves	Wizards	Batman		Ninjas	Witches		Elves	Sherlock Holmes	Celtic Mythology		
11/2/2014 13:00:49	Female	28		3	2		3	2	4	4	3	Straight		Vampires	Rogues	Batman		Pirates	Witches		Elves	Sherlock Holmes	Norse Mythology		
11/2/2014 13:13:23	Female	30		4	5		3	4	5	5	4	Bisexual		Vampires	Wizards	Batman		Ninjas	Warrior Princesses		Elves	Sherlock Holmes	Greek Mythology		
11/2/2014 13:14:48	Female	26		3	2		4	3	4	4	3	Straight		Vampires	Wizards	Batman		Ninjas	Warrior Princesses		Elves	Sherlock Holmes	Greek Mythology		
11/2/2014 13:22:26	Male	26		4	4		3	3	4	4	4	Straight		Vampires	Rogues	Superman		Cowboys	Witches		Elves	King Arthur	Greek Mythology		
11/2/2014 13:51:25	Female	26		4	4		4	3	4	3	4	Straight		Werewolves	Wizards	Batman		Pirates	Warrior Princesses		Dwarves	Sherlock Holmes	Norse Mythology		
11/2/2014 14:11:37	Male	29		4	4		3	4	2	2	3	Straight		Vampires	Wizards	Batman		Ninjas	Warrior Princesses		Elves	Sherlock Holmes	Norse Mythology		
11/2/2014 14:15:14	Female	25		3	2		4	2	3	4	3	Straight		Werewolves	Wizards	Superman		Pirates	Warrior Princesses		Dwarves	Sherlock Holmes	Celtic Mythology		
11/2/2014 14:16:13	Female	25		3	2		4	2	3	4	3	Straight		Werewolves	Wizards	Superman		Pirates	Warrior Princesses		Dwarves	Sherlock Holmes	Celtic Mythology		
11/2/2014 14:17:31	Male	26		4	4		3	3	2	3	4	Straight		Werewolves	Rogues	Batman		Ninjas	Witches		Dwarves	Sherlock Holmes	Norse Mythology		
11/2/2014 15:54:01	Female	27		3	3		2	3	2	3	4	Bisexual		Werewolves	Wizards	Batman		Pirates	Witches		Elves	Sherlock Holmes	Celtic Mythology		
11/2/2014 16:12:02	Male	27		4	3		3	4	4	4	4	Straight		Vampires	Wizards	Superman		Ninjas	Warrior Princesses		Elves	Sherlock Holmes	Greek Mythology		
11/2/2014 16:56:46	Female	24		3	2		4	4	5	3	4	Bisexual		Vampires	Wizards	Batman		Ninjas	Nymphs		Elves	Robin Hood	Greek Mythology		
11/2/2014 17:02:47	Female	25		4	3		3	4	4	4	3	Straight		Werewolves	Wizards	Batman		Pirates	Witches		Elves	Sherlock Holmes	Greek Mythology		
11/2/2014 17:47:32	Female	35		3	2		4	1	1	3	3	Straight		Werewolves	Wizards	Superman		Cowboys	Warrior Princesses		Elves	King Arthur	Celtic Mythology		
11/2/2014 17:54:50	Male	26		5	5		4	4	4	4	4	Gay/Lesbian		Werewolves	Wizards	Batman		Cowboys	Witches		Elves	Robin Hood	Celtic Mythology		
11/2/2014 17:57:33	Female	25		3	4		3	3	2	3	2	Bisexual		Werewolves	Wizards	Batman		Ninjas	Witches		Elves	Sherlock Holmes	Greek Mythology		
11/2/2014 18:18:11	Female	28		4	4		2	3	3	5	4	Bisexual		Werewolves	Wizards	Superman		Pirates	Nymphs		Elves	Sherlock Holmes	Celtic Mythology		
11/2/2014 18:32:15	Female	24		4	3		3	4	3	4	3	Bisexual		Vampires	Wizards	Batman		Pirates	Nymphs		Dwarves	Sherlock Holmes	Norse Mythology		
11/2/2014 19:36:00																									
11/2/2014 20:09:50	Male	27		4	5		2	2	3	3	4	Bisexual		Vampires	Wizards	Batman		Ninjas	Nymphs		Elves	Sherlock Holmes	Greek Mythology		
11/2/2014 20:26:34	Female	34		4	4		3	3	3	4	4	Straight		Vampires	Rogues	Batman		Cowboys	Warrior Princesses		Elves	Robin Hood	Celtic Mythology		
11/2/2014 20:27:21	Female	32		3	3		3	4	3	3	4	Straight		Werewolves	Wizards	Batman		Cowboys	Warrior Princesses		Elves	Sherlock Holmes	Celtic Mythology		
