"CSA_AA.Entire_Root_.Mexican_Pop._1." "CSA_AB.Entire_Root_.Mexican_Pop._2." "CSA_AC.Entire_Root_.Mexican_Pop._3." "CSA_AD.Entire_Petioles_.Mexican_Pop._1." "CSA_AF.Buds_.Mexican_Pop._1." "CSA_AG.Buds_.Mexican_Pop._3." "CSA_AH.Mature_Flower_.Mexican_Pop._1." "CSA_AI.Mature_Flower_.Mexican_Pop._2." "CSA_AJ.Mature_Flower_.Mexican_Pop._3." "CSA_AK.Young_Leaf_.Mexican_Pop._1." "CSA_AL.Young_Leaf_.Mexican_Pop._2." "CSA_AM.Young_Leaf_.Mexican_Pop._3." "CSA_AN.Mature_Leaf_.Mexican_Pop._2." "CSA_AO.Entire_Primary_Stem_.Mexican_Pop._3." "CSA_AP.Buds_.Mexican_Pop._2." "CSA_AQ.Mature_Leaf_.Mexican_Pop._1." "CSA_AR.Mature_Leaf_.Mexican_Pop._3."
"10124_iso_1_len_1629_ver_2" 5.71 5.08 4.8 14.21 14.03 28.31 21.44 16.36 17.85 35.78 20.51 33.77 44.83 7.72 12.79 37.89 26.72
"10125_iso_1_len_300_ver_2" 315.6 353.02 285.1 194.67 69.76 123.81 38.59 36.02 96.26 129.75 172.04 145.31 160.51 350.7 58.77 301.51 355.76
"10126_iso_7_len_1925_ver_2" 53.75 43.36 47.64 70.88 29.23 12.52 36.72 32.64 26.79 32.58 21.82 40.27 19.06 91.24 26.74 21.96 28.49
"10127_iso_6_len_2334_ver_2" 33.85 32.9 36.24 35.59 28.71 21.25 39.49 37.37 23.32 27.6 24.12 33.19 33.19 35.76 20.39 29.28 31.91
"10128_iso_1_len_286_ver_2" 59.69 40.05 77.04 8.69 5.09 0 0 0 0 0 0 0 0 3.77 0 0 8.89
"10129_iso_1_len_976_ver_2" 0 0 0 2.89 60.67 109.12 32.14 56.05 80.36 12.69 13.84 14.36 7.42 1.4 78.05 15.52 34.54
"1012_iso_8_len_2691_ver_2" 0.56 0.78 0.46 2.94 29.65 14.4 51.78 18.87 114.92 404.79 327.61 379.87 687.73 3.05 17.56 599.44 314.07
"10130_iso_1_len_783_ver_2" 1.63 2.78 2.43 2.13 7.77 6.87 7.93 7.65 7.4 3.82 10.13 4.61 7.44 2.15 3.91 8.65 4.27
"10131_iso_1_len_859_ver_2" 19.71 17.76 16.55 9.09 10.29 6.39 7.55 8.65 9.67 2.45 3.16 1.86 2.38 3.54 6.22 1.91 1.55
"10132_iso_1_len_1284_ver_2" 33.34 35.84 27.85 88.85 8.53 2.57 7.62 8.19 5.67 11.18 14.8 7.9 33.02 59.66 8.7 34.78 9.05
"10133_iso_2_len_1848_ver_2" 2.5 1.33 1.92 1.79 4.03 3.12 4.45 4.56 4.4 5.85 5.75 4.49 2.89 1.09 5.18 1.99 1.88
"10134_iso_7_len_1857_ver_2" 18.21 17.36 18.8 20.03 23.06 14.11 33.66 27 26.81 58.27 30.18 68.66 65.59 21.13 17.55 55.56 52.5
"10136_iso_1_len_2414_ver_2" 112.31 113.82 105.09 45.38 8.17 17.95 21.1 11.96 16.86 43.72 18.03 32.8 57.3 24.79 8.31 47.07 25.78
"10137_iso_1_len_1741_ver_2" 31.99 35.36 33.99 42.43 34.63 18.46 34.96 33.85 25.65 39.45 24.86 33.6 44.59 43.34 32.12 35.06 25.13
"10138_iso_1_len_2847_ver_2" 32.18 33.98 31 40.97 27.19 21.77 44.91 44.45 28.65 35.55 25.2 36.86 47.75 39.11 28.96 34.83 33.26
